id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,subject
ChZDSUhNMG9nS0VJQ0FnSUNLZ2FYVWV3EAE,Have been trying to order all weekend and cannot contact store or delivery to find out why.,4 days ago,2021-04-11 19:50:45.451756,3.0,Bewitching 2U,7,0,https://www.google.com/maps/contrib/108211842124103349459/reviews?hl=en-CA,KFC
ChZDSUhNMG9nS0VJQ0FnSUNLckxPaUNREAE,"I always have to repeat my order.  When getting to the window, they still don't have my order right. They are also very slow, certainly not fast food",a week ago,2021-04-11 19:50:45.454257,1.0,Paola Micallef,0,0,https://www.google.com/maps/contrib/102369002284809078627/reviews?hl=en-CA,KFC
ChZDSUhNMG9nS0VJQ0FnSUNLcE5Pc2ZnEAE,"First no macaroni salad or slaw, fries were sad, gravy thicker then normal (this I liked) a little bitey.   Sandwich good chicken tenders good popcorn chicken not bad.  Not too happy overall",a week ago,2021-04-11 19:50:45.456807,2.0,Christine Faulkner,0,0,https://www.google.com/maps/contrib/104462893031808173500/reviews?hl=en-CA,KFC
ChdDSUhNMG9nS0VJQ0FnSUNLeUptVmx3RRAB,,2 weeks ago,2021-04-11 19:50:45.459461,5.0,Karen Johnson,1,0,https://www.google.com/maps/contrib/111559940995827017182/reviews?hl=en-CA,KFC
ChZDSUhNMG9nS0VJQ0FnSUR5dTdYUUZBEAE,,3 weeks ago,2021-04-11 19:50:45.462555,5.0,Luis Soares,8,0,https://www.google.com/maps/contrib/109909182016582974046/reviews?hl=en-CA,KFC
ChZDSUhNMG9nS0VJQ0FnSUR5M3Vmb0dnEAE,Not please at all with Bayfield.  No wings or white  meat and no drum stick.  All  all dark meat thigs and a order of 15 pieces  of chicken  . Never  again,a month ago,2021-04-11 19:50:45.465135,1.0,Maria Diruscio,4,0,https://www.google.com/maps/contrib/103964030575353527959/reviews?hl=en-CA,KFC
ChdDSUhNMG9nS0VJQ0FnSUR5cG9QdDFRRRAB,,a month ago,2021-04-11 19:50:45.468676,5.0,KIM BOUZIS,0,0,https://www.google.com/maps/contrib/110248300669022030127/reviews?hl=en-CA,KFC
ChZDSUhNMG9nS0VJQ0FnSUR5cG9yc0tBEAE,"Staff was very friendly, they got our order correct and knew it was ours even when we forgot to pay attention. The food was very good, we got the boneless bucket meal and it came with a lot of food for the price. Definitely the most busiest …",a month ago,2021-04-11 19:50:45.471328,5.0,Alicia Doxtator,0,0,https://www.google.com/maps/contrib/116575440524513903019/reviews?hl=en-CA,KFC
ChdDSUhNMG9nS0VJQ0FnSUR5blBMdGlRRRAB,,a month ago,2021-04-11 19:50:45.473974,4.0,The Double O Doobie Project,0,0,https://www.google.com/maps/contrib/113659260586359402793/reviews?hl=en-CA,KFC
ChdDSUhNMG9nS0VJQ0FnSUN5NS1iUzhRRRAB,Staff is always rude here and mess orders up all the time. I’ve never once not had to go back and ask for something missing. They also rush you when you order. You ask for a meal and before you can even mention your drink they yell “anything else”. Awful,a month ago,2021-04-11 19:50:45.476601,1.0,James Decoste,3,0,https://www.google.com/maps/contrib/107936878455226446336/reviews?hl=en-CA,KFC
ChdDSUhNMG9nS0VJQ0FnSUN5eDdPXzZnRRAB,"Always a great place with great service. They get your order right the first time, everytime",a month ago,2021-04-11 19:50:45.479200,5.0,Mat Bluett,0,0,https://www.google.com/maps/contrib/115830901515167142454/reviews?hl=en-CA,KFC
ChdDSUhNMG9nS0VJQ0FnSUN5dTR1Tzd3RRAB,They seem to always get something wrong with my order at this location and I feel constantly rushed when I am placing my order ! Slow down and maybe you’ll get something right 🤷🏼‍♀️,a month ago,2021-04-11 19:50:45.481756,1.0,Kim Kent,1,0,https://www.google.com/maps/contrib/111444546564512501768/reviews?hl=en-CA,KFC
ChdDSUhNMG9nS0VJQ0FnSUN5Ni1HT25nRRAB,Service in Orillia SUCKS...so off to Barrie - much better,a month ago,2021-04-11 19:50:45.484961,1.0,Scotti B,4,0,https://www.google.com/maps/contrib/113967354462357117022/reviews?hl=en-CA,KFC
